;RecordNo;Wojew�dztwo;RQ2;company;recomendation;recomendations;detrac;neutral;promo;total
1;1135;dolnośląskie;100-250;Acme;3;detractors;1;0;0;1
2;1136;dolnośląskie;100-250;Acme;4;detractors;1;0;0;1
3;1137;dolnośląskie;100-250;Acme;5;detractors;1;0;0;1
4;1141;dolnośląskie;>25;Acme;9;promoters;0;0;1;1
5;1143;dolnośląskie;100-250;Acme;6;detractors;1;0;0;1
6;1145;dolnośląskie;51-100;Acme;10;promoters;0;0;1;1
7;1150;dolnośląskie;25-50;Acme;10;promoters;0;0;1;1
8;1151;dolnośląskie;100-250;Acme;6;detractors;1;0;0;1
9;1154;dolnośląskie;100-250;Acme;9;promoters;0;0;1;1
10;1159;dolnośląskie;250+;Acme;9;promoters;0;0;1;1
11;1160;dolnośląskie;100-250;Acme;4;detractors;1;0;0;1
12;1167;dolnośląskie;>25;Acme;5;detractors;1;0;0;1
13;1168;dolnośląskie;>25;Acme;1;detractors;1;0;0;1
14;1169;dolnośląskie;250+;Acme;9;promoters;0;0;1;1
15;1173;kujawsko-pomorskie;>25;Acme;5;detractors;1;0;0;1
16;1174;kujawsko-pomorskie;250+;Acme;2;detractors;1;0;0;1
17;1176;kujawsko-pomorskie;25-50;Acme;5;detractors;1;0;0;1
18;1177;kujawsko-pomorskie;>25;Acme;9;promoters;0;0;1;1
19;1178;kujawsko-pomorskie;25-50;Acme;9;promoters;0;0;1;1
20;1183;kujawsko-pomorskie;>25;Acme;9;promoters;0;0;1;1
21;1187;kujawsko-pomorskie;250+;Acme;5;detractors;1;0;0;1
22;1191;kujawsko-pomorskie;>25;Acme;3;detractors;1;0;0;1
23;1200;kujawsko-pomorskie;25-50;Acme;10;promoters;0;0;1;1
24;1202;kujawsko-pomorskie;250+;Acme;1;detractors;1;0;0;1
25;1203;kujawsko-pomorskie;100-250;Acme;9;promoters;0;0;1;1
26;1218;kujawsko-pomorskie;25-50;Acme;9;promoters;0;0;1;1
27;1221;kujawsko-pomorskie;>25;Acme;5;detractors;1;0;0;1
28;1223;kujawsko-pomorskie;100-250;Acme;6;detractors;1;0;0;1
29;1230;kujawsko-pomorskie;>25;Acme;9;promoters;0;0;1;1
30;1233;kujawsko-pomorskie;250+;Acme;6;detractors;1;0;0;1
31;1234;kujawsko-pomorskie;100-250;Acme;9;promoters;0;0;1;1
32;1236;kujawsko-pomorskie;51-100;Acme;10;promoters;0;0;1;1
33;1241;kujawsko-pomorskie;100-250;Acme;3;detractors;1;0;0;1
34;1242;kujawsko-pomorskie;250+;Acme;10;promoters;0;0;1;1
35;1251;kujawsko-pomorskie;250+;Acme;2;detractors;1;0;0;1
36;1253;kujawsko-pomorskie;>25;Acme;10;promoters;0;0;1;1
37;1256;lubelskie;100-250;Acme;10;promoters;0;0;1;1
38;1261;lubelskie;25-50;Acme;9;promoters;0;0;1;1
39;1271;lubelskie;>25;Acme;6;detractors;1;0;0;1
40;1272;lubelskie;25-50;Acme;2;detractors;1;0;0;1
41;1279;lubelskie;250+;Acme;5;detractors;1;0;0;1
42;1280;lubelskie;51-100;Acme;7;neutral;0;1;0;1
43;1282;lubelskie;250+;Acme;9;promoters;0;0;1;1
44;1286;lubelskie;25-50;Acme;4;detractors;1;0;0;1
45;1287;lubelskie;100-250;Acme;7;neutral;0;1;0;1
46;1288;lubelskie;>25;Acme;6;detractors;1;0;0;1
47;1291;lubelskie;250+;Acme;1;detractors;1;0;0;1
48;1292;lubelskie;100-250;Acme;1;detractors;1;0;0;1
49;1293;lubelskie;250+;Acme;6;detractors;1;0;0;1
50;1294;lubuskie;25-50;Acme;10;promoters;0;0;1;1
51;1295;lubuskie;100-250;Acme;2;detractors;1;0;0;1
52;1301;lubuskie;250+;Acme;10;promoters;0;0;1;1
53;1304;lubuskie;25-50;Acme;4;detractors;1;0;0;1
54;1311;lubuskie;100-250;Acme;2;detractors;1;0;0;1
55;1316;lubuskie;100-250;Acme;4;detractors;1;0;0;1
56;1319;lubuskie;100-250;Acme;9;promoters;0;0;1;1
57;1322;lubuskie;51-100;Acme;8;neutral;0;1;0;1
58;1323;lubuskie;100-250;Acme;8;neutral;0;1;0;1
59;1327;lubuskie;25-50;Acme;9;promoters;0;0;1;1
60;1329;lubuskie;25-50;Acme;6;detractors;1;0;0;1
61;1336;lubuskie;>25;Acme;10;promoters;0;0;1;1
62;1339;lubuskie;>25;Acme;10;promoters;0;0;1;1
63;1342;lubuskie;>25;Acme;3;detractors;1;0;0;1
64;1344;lubuskie;250+;Acme;7;neutral;0;1;0;1
65;1356;lubuskie;51-100;Acme;7;neutral;0;1;0;1
66;1357;lubuskie;51-100;Acme;9;promoters;0;0;1;1
67;1358;łódzkie;100-250;Acme;3;detractors;1;0;0;1
68;1360;łódzkie;250+;Acme;1;detractors;1;0;0;1
69;1364;łódzkie;51-100;Acme;7;neutral;0;1;0;1
70;1368;łódzkie;>25;Acme;8;neutral;0;1;0;1
71;1371;łódzkie;25-50;Acme;10;promoters;0;0;1;1
72;1375;łódzkie;>25;Acme;5;detractors;1;0;0;1
73;1377;łódzkie;>25;Acme;10;promoters;0;0;1;1
74;1382;łódzkie;>25;Acme;8;neutral;0;1;0;1
75;1387;małopolskie;>25;Acme;10;promoters;0;0;1;1
76;1388;małopolskie;51-100;Acme;9;promoters;0;0;1;1
77;1393;małopolskie;>25;Acme;9;promoters;0;0;1;1
78;1397;małopolskie;250+;Acme;3;detractors;1;0;0;1
79;1399;małopolskie;100-250;Acme;10;promoters;0;0;1;1
80;1403;małopolskie;250+;Acme;2;detractors;1;0;0;1
81;1404;małopolskie;>25;Acme;6;detractors;1;0;0;1
82;1406;mazowieckie;250+;Acme;7;neutral;0;1;0;1
83;1410;mazowieckie;>25;Acme;9;promoters;0;0;1;1
84;1412;mazowieckie;250+;Acme;9;promoters;0;0;1;1
85;1413;mazowieckie;100-250;Acme;8;neutral;0;1;0;1
86;1415;mazowieckie;51-100;Acme;7;neutral;0;1;0;1
87;1419;mazowieckie;>25;Acme;9;promoters;0;0;1;1
88;1424;mazowieckie;250+;Acme;5;detractors;1;0;0;1
89;1430;mazowieckie;250+;Acme;8;neutral;0;1;0;1
90;1438;mazowieckie;100-250;Acme;7;neutral;0;1;0;1
91;1439;mazowieckie;25-50;Acme;1;detractors;1;0;0;1
92;1440;mazowieckie;100-250;Acme;8;neutral;0;1;0;1
93;1442;mazowieckie;250+;Acme;4;detractors;1;0;0;1
94;1450;mazowieckie;>25;Acme;2;detractors;1;0;0;1
95;1451;mazowieckie;51-100;Acme;9;promoters;0;0;1;1
96;1458;mazowieckie;250+;Acme;9;promoters;0;0;1;1
97;1462;mazowieckie;>25;Acme;2;detractors;1;0;0;1
98;1469;mazowieckie;>25;Acme;5;detractors;1;0;0;1
99;1475;mazowieckie;100-250;Acme;9;promoters;0;0;1;1
100;1476;mazowieckie;250+;Acme;7;neutral;0;1;0;1
101;1477;mazowieckie;>25;Acme;10;promoters;0;0;1;1
102;1485;mazowieckie;25-50;Acme;9;promoters;0;0;1;1
103;1486;mazowieckie;250+;Acme;9;promoters;0;0;1;1
104;1488;mazowieckie;100-250;Acme;3;detractors;1;0;0;1
105;1490;mazowieckie;100-250;Acme;8;neutral;0;1;0;1
106;1491;opolskie;51-100;Acme;9;promoters;0;0;1;1
107;1501;opolskie;100-250;Acme;9;promoters;0;0;1;1
108;1503;opolskie;51-100;Acme;6;detractors;1;0;0;1
109;1504;opolskie;100-250;Acme;8;neutral;0;1;0;1
110;1508;opolskie;100-250;Acme;6;detractors;1;0;0;1
111;1514;opolskie;25-50;Acme;10;promoters;0;0;1;1
112;1525;opolskie;25-50;Acme;9;promoters;0;0;1;1
113;1529;opolskie;100-250;Acme;10;promoters;0;0;1;1
114;1531;opolskie;100-250;Acme;9;promoters;0;0;1;1
115;1540;opolskie;250+;Acme;5;detractors;1;0;0;1
116;1543;podkarpackie;100-250;Acme;6;detractors;1;0;0;1
117;1545;podkarpackie;>25;Acme;5;detractors;1;0;0;1
118;1546;podkarpackie;25-50;Acme;3;detractors;1;0;0;1
119;1548;podkarpackie;100-250;Acme;2;detractors;1;0;0;1
120;1562;podkarpackie;>25;Acme;10;promoters;0;0;1;1
121;1567;podkarpackie;>25;Acme;9;promoters;0;0;1;1
122;1575;podkarpackie;250+;Acme;10;promoters;0;0;1;1
123;1578;podkarpackie;250+;Acme;8;neutral;0;1;0;1
124;1581;podkarpackie;100-250;Acme;10;promoters;0;0;1;1
125;1583;podkarpackie;51-100;Acme;10;promoters;0;0;1;1
126;1588;podlaskie;>25;Acme;9;promoters;0;0;1;1
127;1589;podlaskie;51-100;Acme;7;neutral;0;1;0;1
128;1591;podlaskie;51-100;Acme;6;detractors;1;0;0;1
129;1593;podlaskie;51-100;Acme;9;promoters;0;0;1;1
130;1594;podlaskie;250+;Acme;6;detractors;1;0;0;1
131;1599;podlaskie;250+;Acme;2;detractors;1;0;0;1
132;1604;podlaskie;51-100;Acme;9;promoters;0;0;1;1
133;1605;podlaskie;51-100;Acme;9;promoters;0;0;1;1
134;1612;podlaskie;51-100;Acme;8;neutral;0;1;0;1
135;1615;podlaskie;250+;Acme;10;promoters;0;0;1;1
136;1626;podlaskie;25-50;Acme;8;neutral;0;1;0;1
137;1629;podlaskie;250+;Acme;10;promoters;0;0;1;1
138;1633;podlaskie;>25;Acme;4;detractors;1;0;0;1
139;1634;pomorskie;>25;Acme;6;detractors;1;0;0;1
140;1638;pomorskie;100-250;Acme;4;detractors;1;0;0;1
141;1642;pomorskie;>25;Acme;5;detractors;1;0;0;1
142;1649;pomorskie;51-100;Acme;3;detractors;1;0;0;1
143;1651;pomorskie;>25;Acme;10;promoters;0;0;1;1
144;1653;pomorskie;25-50;Acme;10;promoters;0;0;1;1
145;1654;pomorskie;100-250;Acme;4;detractors;1;0;0;1
146;1655;pomorskie;>25;Acme;7;neutral;0;1;0;1
147;1660;śląskie;51-100;Acme;10;promoters;0;0;1;1
148;1664;śląskie;25-50;Acme;1;detractors;1;0;0;1
149;1665;śląskie;100-250;Acme;7;neutral;0;1;0;1
150;1666;śląskie;25-50;Acme;9;promoters;0;0;1;1
151;1672;świętokrzyskie;250+;Acme;10;promoters;0;0;1;1
152;1674;świętokrzyskie;51-100;Acme;1;detractors;1;0;0;1
153;1686;świętokrzyskie;51-100;Acme;8;neutral;0;1;0;1
154;1692;świętokrzyskie;51-100;Acme;5;detractors;1;0;0;1
155;1694;świętokrzyskie;250+;Acme;9;promoters;0;0;1;1
156;1697;warmińsko-mazurskie;100-250;Acme;3;detractors;1;0;0;1
157;1705;warmińsko-mazurskie;25-50;Acme;9;promoters;0;0;1;1
158;1710;warmińsko-mazurskie;51-100;Acme;4;detractors;1;0;0;1
159;1712;warmińsko-mazurskie;>25;Acme;9;promoters;0;0;1;1
160;1716;warmińsko-mazurskie;100-250;Acme;10;promoters;0;0;1;1
161;1717;warmińsko-mazurskie;51-100;Acme;4;detractors;1;0;0;1
162;1718;wielkopolskie;>25;Acme;10;promoters;0;0;1;1
163;1719;wielkopolskie;250+;Acme;9;promoters;0;0;1;1
164;1724;wielkopolskie;250+;Acme;7;neutral;0;1;0;1
165;1725;wielkopolskie;250+;Acme;6;detractors;1;0;0;1
166;1729;wielkopolskie;250+;Acme;8;neutral;0;1;0;1
167;1733;wielkopolskie;25-50;Acme;9;promoters;0;0;1;1
168;1734;wielkopolskie;250+;Acme;10;promoters;0;0;1;1
169;1739;wielkopolskie;51-100;Acme;1;detractors;1;0;0;1
170;1740;wielkopolskie;100-250;Acme;10;promoters;0;0;1;1
171;1746;wielkopolskie;100-250;Acme;9;promoters;0;0;1;1
172;1749;wielkopolskie;250+;Acme;9;promoters;0;0;1;1
173;1752;wielkopolskie;250+;Acme;10;promoters;0;0;1;1
174;1754;wielkopolskie;51-100;Acme;10;promoters;0;0;1;1
175;1763;wielkopolskie;250+;Acme;5;detractors;1;0;0;1
176;1767;wielkopolskie;100-250;Acme;9;promoters;0;0;1;1
177;1771;wielkopolskie;51-100;Acme;4;detractors;1;0;0;1
178;1777;wielkopolskie;250+;Acme;10;promoters;0;0;1;1
179;1783;wielkopolskie;>25;Acme;6;detractors;1;0;0;1
180;1792;wielkopolskie;250+;Acme;7;neutral;0;1;0;1
181;1799;wielkopolskie;>25;Acme;8;neutral;0;1;0;1
182;1800;wielkopolskie;>25;Acme;9;promoters;0;0;1;1
183;1824;wielkopolskie;100-250;Acme;9;promoters;0;0;1;1
184;1828;wielkopolskie;100-250;Acme;9;promoters;0;0;1;1
185;1838;wielkopolskie;100-250;Acme;8;neutral;0;1;0;1
186;1846;wielkopolskie;51-100;Acme;1;detractors;1;0;0;1
187;1851;wielkopolskie;250+;Acme;10;promoters;0;0;1;1
188;1860;wielkopolskie;>25;Acme;10;promoters;0;0;1;1
189;1863;wielkopolskie;>25;Acme;9;promoters;0;0;1;1
190;1866;wielkopolskie;>25;Acme;9;promoters;0;0;1;1
191;1869;wielkopolskie;100-250;Acme;8;neutral;0;1;0;1
192;1870;wielkopolskie;100-250;Acme;8;neutral;0;1;0;1
193;1873;wielkopolskie;25-50;Acme;1;detractors;1;0;0;1
194;1909;wielkopolskie;100-250;Acme;8;neutral;0;1;0;1
195;1924;wielkopolskie;51-100;Acme;9;promoters;0;0;1;1
196;1928;wielkopolskie;25-50;Acme;3;detractors;1;0;0;1
197;1938;zachodniopomorskie);51-100;Acme;4;detractors;1;0;0;1
198;1945;zachodniopomorskie);>25;Acme;3;detractors;1;0;0;1
199;1958;zachodniopomorskie);>25;Acme;7;neutral;0;1;0;1
200;1135;dolnośląskie;100-250;Central Park;5;detractors;1;0;0;1
201;1136;dolnośląskie;100-250;Central Park;10;promoters;0;0;1;1
202;1137;dolnośląskie;100-250;Central Park;1;detractors;1;0;0;1
203;1141;dolnośląskie;>25;Central Park;5;detractors;1;0;0;1
204;1143;dolnośląskie;100-250;Central Park;5;detractors;1;0;0;1
205;1145;dolnośląskie;51-100;Central Park;8;neutral;0;1;0;1
206;1150;dolnośląskie;25-50;Central Park;5;detractors;1;0;0;1
207;1151;dolnośląskie;100-250;Central Park;9;promoters;0;0;1;1
208;1154;dolnośląskie;100-250;Central Park;3;detractors;1;0;0;1
209;1159;dolnośląskie;250+;Central Park;3;detractors;1;0;0;1
210;1160;dolnośląskie;100-250;Central Park;8;neutral;0;1;0;1
211;1167;dolnośląskie;>25;Central Park;4;detractors;1;0;0;1
212;1168;dolnośląskie;>25;Central Park;6;detractors;1;0;0;1
213;1169;dolnośląskie;250+;Central Park;6;detractors;1;0;0;1
214;1173;kujawsko-pomorskie;>25;Central Park;3;detractors;1;0;0;1
215;1174;kujawsko-pomorskie;250+;Central Park;4;detractors;1;0;0;1
216;1176;kujawsko-pomorskie;25-50;Central Park;10;promoters;0;0;1;1
217;1177;kujawsko-pomorskie;>25;Central Park;4;detractors;1;0;0;1
218;1178;kujawsko-pomorskie;25-50;Central Park;9;promoters;0;0;1;1
219;1183;kujawsko-pomorskie;>25;Central Park;9;promoters;0;0;1;1
220;1187;kujawsko-pomorskie;250+;Central Park;8;neutral;0;1;0;1
221;1191;kujawsko-pomorskie;>25;Central Park;10;promoters;0;0;1;1
222;1200;kujawsko-pomorskie;25-50;Central Park;8;neutral;0;1;0;1
223;1202;kujawsko-pomorskie;250+;Central Park;9;promoters;0;0;1;1
224;1203;kujawsko-pomorskie;100-250;Central Park;5;detractors;1;0;0;1
225;1218;kujawsko-pomorskie;25-50;Central Park;0;detractors;1;0;0;1
226;1221;kujawsko-pomorskie;>25;Central Park;9;promoters;0;0;1;1
227;1223;kujawsko-pomorskie;100-250;Central Park;8;neutral;0;1;0;1
228;1230;kujawsko-pomorskie;>25;Central Park;6;detractors;1;0;0;1
229;1233;kujawsko-pomorskie;250+;Central Park;4;detractors;1;0;0;1
230;1234;kujawsko-pomorskie;100-250;Central Park;7;neutral;0;1;0;1
231;1236;kujawsko-pomorskie;51-100;Central Park;10;promoters;0;0;1;1
232;1241;kujawsko-pomorskie;100-250;Central Park;7;neutral;0;1;0;1
233;1242;kujawsko-pomorskie;250+;Central Park;5;detractors;1;0;0;1
234;1251;kujawsko-pomorskie;250+;Central Park;9;promoters;0;0;1;1
235;1253;kujawsko-pomorskie;>25;Central Park;9;promoters;0;0;1;1
236;1256;lubelskie;100-250;Central Park;4;detractors;1;0;0;1
237;1261;lubelskie;25-50;Central Park;9;promoters;0;0;1;1
238;1271;lubelskie;>25;Central Park;4;detractors;1;0;0;1
239;1272;lubelskie;25-50;Central Park;9;promoters;0;0;1;1
240;1279;lubelskie;250+;Central Park;10;promoters;0;0;1;1
241;1280;lubelskie;51-100;Central Park;2;detractors;1;0;0;1
242;1282;lubelskie;250+;Central Park;7;neutral;0;1;0;1
243;1286;lubelskie;25-50;Central Park;9;promoters;0;0;1;1
